model1,model2,Q_params correlation,state_freq correlation,Q_exchange correlation,Q_matrix correlation,Q_params distance,state_freq distance,Q_exchange distance,Q_matrix distance
Q.p__Fibrobacterota,Q.p__Poribacteria,0.9231742886003271,0.9493364877886632,0.923174288600327,0.9432436307796865,0.04891396921766727,0.03843369770136618,14.61025466585735,0.9071795068990192
Q.p__Fibrobacterota,Q.p__Krumholzibacteriota,0.9847165487594822,0.9059526482119207,0.9847165487594814,0.9732629180504115,0.02190809363187408,0.06092276113243719,7.8630366090192005,0.8243528811942273
Q.p__Fibrobacterota,Q.p__Deferribacterota,0.951024352539813,0.9053609897631267,0.9510243525398123,0.9640798982099894,0.038994336945068646,0.053392940357316905,11.850078877190498,0.8205448427889078
Q.p__Fibrobacterota,Q.p__Dependentiae,0.9768203209645155,0.893317520094096,0.9768203209645144,0.9770692353684369,0.026938502550296683,0.0591083011090659,8.230575450509418,0.7273631585734635
Q.p__Bipolaricaulota,Q.p__Eisenbacteria,0.956169879372952,0.9829361528669356,0.9561698793729531,0.9723205567202741,0.03590653141976221,0.027331343710106898,11.81379577123079,0.6982226565381101
Q.p__Bipolaricaulota,Q.p__Gemmatimonadota,0.9422814367108431,0.948974066886202,0.9422814367108434,0.9710710270097306,0.04712971879014449,0.05811135362388317,19.75061685778646,1.004883660711971
Q.p__Bipolaricaulota,Q.p__Thermotogota,0.9518261343957948,0.6710788551752115,0.9518261343957944,0.885711180855584,0.03740935468295165,0.11602284832738766,12.827418883001384,1.4612230518181324
Q.p__Bipolaricaulota,Q.p__Cloacimonadota,0.9543745760182974,0.6541132149687194,0.9543745760182972,0.8898272935674778,0.036406292482581204,0.11653435092280731,12.176377608406508,1.3491921795498947
Q.p__Bipolaricaulota,Q.p__Fusobacteriota,0.9329943170876999,0.5310242089946263,0.9329943170877009,0.825684646174224,0.04435871321529813,0.1500569060590015,14.355823068611867,1.8338683527161044
Q.p__Bipolaricaulota,Q.p__Caldisericota,0.9591060429736151,0.7427826486361728,0.9591060429736155,0.9179151447186592,0.03411379039893052,0.09815678288839748,12.652281511202993,1.2089397733822107
Q.p__Bipolaricaulota,Q.p__Zixibacteria,0.9698285879492335,0.8965756826845813,0.9698285879492342,0.9556245866010589,0.031120998399961897,0.06408751386970787,9.810520276419089,0.8544016256876468
Q.p__Bipolaricaulota,Q.p__Marinisomatota,0.960220926166959,0.5883289465314625,0.9602209261669589,0.8859391284314401,0.03493800570533521,0.12667856454428272,11.76869959025573,1.4415345017959662
Q.p__Bipolaricaulota,Q.p__Margulisbacteria,0.9602607636475284,0.7832689025386207,0.960260763647528,0.9265442901521672,0.03362043085695467,0.09030738892803844,12.153452772593102,1.0946264186818002
Q.p__Bipolaricaulota,Q.p__Fibrobacterota,0.9571775436196237,0.9094119672890267,0.9571775436196233,0.9528948713054852,0.036408109515234995,0.06083199256148034,11.671586007152824,0.931736664113881
Q.p__Bipolaricaulota,Q.p__Bipolaricaulota,0.9999999999999998,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Q.p__Bipolaricaulota,Q.p__Spirochaetota,0.9729375032495674,0.8677543852582054,0.9729375032495675,0.9498375240868479,0.027887339130766377,0.07188006309819156,10.123297008923904,0.9395649381748163
Q.p__Bipolaricaulota,Q.p__Chlamydiota,0.9763021120722849,0.7851450959849876,0.9763021120722853,0.9254615441451984,0.026969398454381985,0.09154839097439124,8.847095870060478,1.1171993280500196
Q.p__Bipolaricaulota,Q.p__Synergistota,0.9831024236484105,0.9364737105702345,0.9831024236484112,0.9732936423598695,0.022378134605002962,0.05077422643428455,7.419597934194103,0.7091251163931239
Q.p__Bipolaricaulota,Q.p__Deinococcota,0.9477812940365075,0.9802146931869058,0.9477812940365075,0.9661154826975381,0.043414951880081244,0.03464133546790597,16.48570866017917,1.03672111885348
Q.p__Bipolaricaulota,Q.p__Poribacteria,0.9812917210054729,0.937754690761557,0.981291721005474,0.9552431997218287,0.02380501085937777,0.05340407398317099,8.282377680481975,0.930485817875087
Q.p__Bipolaricaulota,Q.p__Krumholzibacteriota,0.9650739660359956,0.9897337087320001,0.9650739660359964,0.9781214236435436,0.03234973987577288,0.02066308135298315,10.694536335704191,0.6057061108067772
Q.p__Bipolaricaulota,Q.p__Deferribacterota,0.947493658206218,0.7017518536534366,0.9474936582062179,0.8947569517514,0.03944630499800185,0.10526187686432349,13.580290956520333,1.3470825788053729
Q.p__Bipolaricaulota,Q.p__Dependentiae,0.9740167692089696,0.737226645430947,0.9740167692089688,0.9184182303716383,0.02765287469086266,0.10068575141995019,9.957611996604745,1.2519018100660515
Q.p__Spirochaetota,Q.p__Eisenbacteria,0.9796812713109352,0.797909827451632,0.9796812713109354,0.941281642457119,0.02445653538029559,0.08959405039398542,9.435527037810758,1.120413998465599
Q.p__Spirochaetota,Q.p__Gemmatimonadota,0.9518273104089419,0.7431663466759001,0.9518273104089428,0.9188330131813113,0.044005562038485255,0.1160318317488783,21.948844822274044,1.6413945509488794
Q.p__Spirochaetota,Q.p__Thermotogota,0.9605103205485297,0.9163939903802184,0.9605103205485293,0.9612600090361665,0.03370986697896223,0.05696352195045529,9.830047003340304,0.8521519232907566
Q.p__Spirochaetota,Q.p__Cloacimonadota,0.9873190078527493,0.9220309346232076,0.9873190078527495,0.9800902347908131,0.019147674044784794,0.052210999703127696,5.744750048828028,0.5735301244770747
Q.p__Spirochaetota,Q.p__Fusobacteriota,0.9496113040771402,0.847203282317623,0.9496113040771408,0.9381217445612107,0.03832572625320687,0.08813470921833237,11.790938688353531,1.1568574058568342
Q.p__Spirochaetota,Q.p__Caldisericota,0.9726632387221097,0.9592265470517185,0.97266323872211,0.979965870541352,0.02768970490138056,0.035272718636362575,8.229618854510088,0.5310126429205677
Q.p__Spirochaetota,Q.p__Zixibacteria,0.9852275116066496,0.9923206043930628,0.9852275116066499,0.993078912977363,0.022639435585806448,0.015892674004081248,7.883993520763326,0.47877429423622975
Q.p__Spirochaetota,Q.p__Marinisomatota,0.9844432346598685,0.8946815808947495,0.9844432346598694,0.9753293208725001,0.02237063134255249,0.059901262674504616,6.301684097768082,0.6579878676832056
Q.p__Spirochaetota,Q.p__Margulisbacteria,0.9892126511729691,0.9701960019814588,0.989212651172969,0.9868902036889761,0.017480179596978895,0.029983313059100052,5.204608100695091,0.47526932107200603
Q.p__Spirochaetota,Q.p__Fibrobacterota,0.988035210968169,0.9861498293902089,0.9880352109681687,0.9923629005666069,0.02009054060360909,0.020464886806430174,6.224202805339945,0.4389205693807102
Q.p__Spirochaetota,Q.p__Bipolaricaulota,0.9729375032495674,0.8677543852582054,0.9729375032495675,0.9498375240868479,0.027887339130766377,0.07188006309819156,10.123297008923904,0.9395649381748163
Q.p__Spirochaetota,Q.p__Spirochaetota,0.9999999999999998,0.9999999999999999,1.0,1.0,0.0,0.0,0.0,0.0
Q.p__Spirochaetota,Q.p__Chlamydiota,0.9899711685580891,0.9579188733521292,0.9899711685580902,0.9876751042498504,0.018093522182281208,0.03824426350447868,5.809326454607064,0.5345356644754707
Q.p__Spirochaetota,Q.p__Synergistota,0.9874398075167659,0.9713167661079464,0.9874398075167666,0.9880289375868526,0.01938672462863403,0.032055438181375705,6.647347491489258,0.47631238700110273
Q.p__Spirochaetota,Q.p__Deinococcota,0.9658825344769568,0.797940495449024,0.9658825344769577,0.9262562302481366,0.03643153873016617,0.09732514478797348,17.369324098472312,1.5572716370197903
Q.p__Spirochaetota,Q.p__Poribacteria,0.9462733220426334,0.9443312098720043,0.9462733220426345,0.9494566190851957,0.040012796558172,0.04058724037182128,11.865422454554285,0.8105999641411471
Q.p__Spirochaetota,Q.p__Krumholzibacteriota,0.9809340443419707,0.8574952856494222,0.9809340443419705,0.962495690402385,0.02406020885636127,0.07351630937417901,9.730642031054213,0.979363498195967
Q.p__Spirochaetota,Q.p__Deferribacterota,0.9767654617627577,0.9510204496419298,0.9767654617627578,0.980395897623775,0.02629751839603956,0.0385794213279567,7.590631274991714,0.5925394475893272
Q.p__Spirochaetota,Q.p__Dependentiae,0.9848395694814487,0.9264310542422596,0.9848395694814484,0.9821369273195246,0.021162806624376817,0.04936030935883608,6.144276263385835,0.6069400905449321
Q.p__Chlamydiota,Q.p__Eisenbacteria,0.9757461638352526,0.6872473852279974,0.9757461638352537,0.9159041549891155,0.027259196382000413,0.11207302788360811,9.104218144142648,1.3166125516640461
Q.p__Chlamydiota,Q.p__Gemmatimonadota,0.9558003128959119,0.6166320106183886,0.9558003128959128,0.8918439424437218,0.0411840820726167,0.13879037810309472,19.817794607059387,1.7301652414855158
Q.p__Chlamydiota,Q.p__Thermotogota,0.9504316176038149,0.9147046745395188,0.9504316176038148,0.9577660687967714,0.03878120026472629,0.057251630212597444,11.797875012735274,0.9360459195625017
Q.p__Chlamydiota,Q.p__Cloacimonadota,0.9778132578036709,0.9453943300321719,0.9778132578036702,0.9803235129813105,0.02610659967337771,0.04424888370343369,7.94215946108964,0.6397711842631536
